Algodon,Poliester,Lana,Elastano,Viscosa,Nylon,Seda,Fibra,Peso,Programa,Agua,Jabon,Temperatura
98.98,1.02,0.0,0.0,0.0,0.0,0.0,0.0,5.2,Algodón,61.2,28.0,60
1.08,22.46,20.0,2.1,12.33,5.99,36.04,0.0,2.81,Delicados,46.86,22.025,30
74.35,12.55,0.0,3.96,5.19,0.0,0.0,3.95,5.6,Algodón,63.599999999999994,29.0,60
18.26,59.5,0.0,6.03,1.4,13.26,0.0,1.55,3.41,Sintéticos,50.46,23.525,40
47.55,33.63,4.05,1.34,8.64,1.48,0.0,3.31,5.24,Mixto,61.44,28.1,40
91.58,1.95,0.0,0.13,3.06,0.0,0.0,3.28,6.92,Algodón,71.52,32.3,60
46.96,41.76,1.07,2.36,4.33,1.94,0.0,1.59,2.84,Mixto,47.04,22.1,40
96.65,3.35,0.0,0.0,0.0,0.0,0.0,0.0,6.34,Algodón,68.03999999999999,30.85,60
92.66,7.34,0.0,0.0,0.0,0.0,0.0,0.0,7.6,Algodón,75.6,34.0,60
89.02,0.16,0.0,3.81,5.38,0.0,0.0,1.63,6.91,Algodón,71.46000000000001,32.275,60
11.24,54.46,0.0,12.0,1.53,16.59,0.0,4.18,2.64,Sintéticos,45.84,21.6,40
24.81,47.0,0.0,13.56,2.56,9.8,0.0,2.27,2.07,Mixto,42.42,20.175,40
97.74,2.26,0.0,0.0,0.0,0.0,0.0,0.0,6.92,Algodón,71.52,32.3,60
1.87,44.87,30.15,1.2,1.59,9.98,10.34,0.0,2.45,Mixto,44.7,21.125,40
83.76,4.2,0.0,2.52,7.52,0.0,0.0,1.99,6.32,Algodón,67.92,30.8,60
21.1,22.83,28.49,3.51,9.88,5.18,9.0,0.0,2.55,Mixto,45.3,21.375,40
28.55,4.68,48.53,0.14,6.59,2.9,8.62,0.0,1.96,Mixto,41.76,19.9,40
76.46,13.23,0.0,1.66,4.7,0.0,0.0,3.95,3.58,Algodón,51.480000000000004,23.95,60
97.93,2.07,0.0,0.0,0.0,0.0,0.0,0.0,7.91,Algodón,77.46000000000001,34.775,60
24.83,45.35,0.0,12.25,2.35,13.09,0.0,2.13,2.99,Mixto,47.94,22.475,40
92.81,7.19,0.0,0.0,0.0,0.0,0.0,0.0,4.65,Algodón,57.900000000000006,26.625,60
38.62,43.4,2.81,3.89,8.67,0.83,0.0,1.77,2.7,Mixto,46.2,21.75,40
91.49,0.31,0.0,1.1,0.97,0.0,0.0,6.14,3.74,Algodón,52.44,24.35,60
32.39,31.65,12.97,4.91,4.08,5.59,8.39,0.0,2.92,Mixto,47.519999999999996,22.3,40
98.25,1.75,0.0,0.0,0.0,0.0,0.0,0.0,4.32,Algodón,55.92,25.8,60
3.25,33.88,16.55,1.72,4.54,6.92,33.14,0.0,1.63,Delicados,39.78,19.075,30
22.98,49.41,0.0,14.76,2.72,6.69,0.0,3.44,3.93,Mixto,53.58,24.825000000000003,40
0.25,61.68,0.0,23.38,0.29,8.46,0.0,5.94,3.33,Sintéticos,49.980000000000004,23.325,40
6.25,20.41,37.59,0.6,5.53,0.67,28.95,0.0,1.56,Mixto,39.36,18.9,40
90.43,9.57,0.0,0.0,0.0,0.0,0.0,0.0,6.64,Algodón,69.84,31.599999999999998,60
77.28,10.28,0.0,3.88,4.49,0.0,0.0,4.08,4.28,Algodón,55.68,25.700000000000003,60
99.48,0.52,0.0,0.0,0.0,0.0,0.0,0.0,4.11,Algodón,54.660000000000004,25.275,60
16.82,3.63,24.05,6.18,11.41,14.44,23.48,0.0,1.7,Mixto,40.2,19.25,40
92.28,7.72,0.0,0.0,0.0,0.0,0.0,0.0,5.78,Algodón,64.68,29.450000000000003,60
90.54,9.46,0.0,0.0,0.0,0.0,0.0,0.0,4.31,Algodón,55.86,25.775,60
57.12,32.68,0.34,1.0,3.93,3.11,0.0,1.82,3.24,Mixto,49.44,23.1,40
69.04,18.43,0.0,0.93,8.2,0.0,0.0,3.38,5.79,Mixto,64.74000000000001,29.475,40
37.45,47.31,1.57,2.02,8.1,1.1,0.0,2.44,3.11,Mixto,48.66,22.775,40
63.42,27.63,4.15,0.09,0.73,0.08,0.0,3.91,5.04,Mixto,60.24,27.6,40
95.45,4.55,0.0,0.0,0.0,0.0,0.0,0.0,7.42,Algodón,74.52,33.55,60
99.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,5.07,Algodón,60.42,27.675,60
2.68,64.04,0.0,17.29,3.19,12.32,0.0,0.48,2.31,Sintéticos,43.86,20.775,40
79.36,4.67,0.0,3.44,10.26,0.0,0.0,2.27,6.1,Algodón,66.6,30.25,60
96.99,3.01,0.0,0.0,0.0,0.0,0.0,0.0,5.05,Algodón,60.3,27.625,60
1.74,64.68,0.0,9.33,4.42,15.15,0.0,4.69,3.39,Sintéticos,50.34,23.475,40
4.63,11.73,41.82,5.11,9.16,3.47,24.09,0.0,2.01,Mixto,42.06,20.025,40
73.84,15.36,0.0,3.98,2.73,0.0,0.0,4.1,4.91,Algodón,59.46,27.275,60
3.16,63.21,0.0,15.43,2.03,13.65,0.0,2.52,2.56,Sintéticos,45.36,21.4,40
54.36,26.76,3.33,5.9,4.77,3.77,0.0,1.12,4.45,Mixto,56.7,26.125,40
48.72,35.85,4.77,4.11,2.03,0.31,0.0,4.21,3.93,Mixto,53.58,24.825000000000003,40
11.44,16.69,38.65,0.32,0.71,5.3,26.89,0.0,2.4,Mixto,44.4,21.0,40
14.2,56.28,0.0,15.59,0.58,10.69,0.0,2.67,3.53,Sintéticos,51.18,23.825,40
93.46,6.54,0.0,0.0,0.0,0.0,0.0,0.0,6.78,Algodón,70.68,31.95,60
31.09,4.0,17.92,2.22,5.98,9.42,29.36,0.0,1.63,Mixto,39.78,19.075,40
7.64,53.04,0.0,17.17,1.97,15.72,0.0,4.46,2.89,Sintéticos,47.34,22.225,40
97.3,2.7,0.0,0.0,0.0,0.0,0.0,0.0,5.68,Algodón,64.08,29.2,60
21.43,52.65,0.0,10.08,1.05,14.74,0.0,0.04,3.38,Sintéticos,50.28,23.45,40
23.53,48.33,0.0,10.07,4.12,12.85,0.0,1.11,2.09,Mixto,42.54,20.225,40
9.63,30.76,15.59,4.63,5.26,3.82,30.31,0.0,1.8,Delicados,40.8,19.5,30
93.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,4.26,Algodón,55.56,25.65,60
10.25,45.22,0.0,18.69,4.67,17.32,0.0,3.84,2.26,Mixto,43.56,20.65,40
10.28,45.47,0.0,18.92,2.05,18.32,0.0,4.97,2.66,Mixto,45.96,21.65,40
2.24,49.22,0.0,26.16,7.18,13.76,0.0,1.44,2.36,Mixto,44.16,20.9,40
32.49,1.27,15.91,5.18,11.66,12.18,21.31,0.0,2.49,Mixto,44.94,21.225,40
0.77,63.65,0.0,15.9,1.22,16.92,0.0,1.54,2.08,Sintéticos,42.480000000000004,20.2,40
86.07,8.36,0.0,0.57,0.55,0.0,0.0,4.45,3.93,Algodón,53.58,24.825000000000003,60
79.11,17.23,0.0,1.62,1.01,0.0,0.0,1.03,3.58,Algodón,51.480000000000004,23.95,60
56.96,29.41,3.66,1.84,2.59,2.36,0.0,3.18,4.84,Mixto,59.04,27.1,40
18.16,47.58,0.0,14.77,0.69,13.91,0.0,4.89,2.77,Mixto,46.620000000000005,21.925,40
10.92,56.52,0.0,9.96,1.61,16.82,0.0,4.16,3.18,Sintéticos,49.08,22.95,40
33.95,35.3,0.0,7.59,3.39,16.65,0.0,3.11,3.4,Mixto,50.4,23.5,40
94.25,5.75,0.0,0.0,0.0,0.0,0.0,0.0,7.03,Algodón,72.18,32.575,60
55.84,36.03,0.72,4.88,2.03,0.09,0.0,0.4,3.56,Mixto,51.36,23.9,40
5.17,43.18,0.0,28.04,2.65,13.9,0.0,7.05,2.77,Mixto,46.620000000000005,21.925,40
44.36,40.63,0.41,1.81,6.85,0.5,0.0,5.44,4.31,Mixto,55.86,25.775,40
36.93,41.73,2.84,3.69,8.23,4.79,0.0,1.8,4.65,Mixto,57.900000000000006,26.625,40
25.07,32.45,15.2,3.69,1.8,8.62,13.17,0.0,2.62,Mixto,45.72,21.55,40
91.58,8.42,0.0,0.0,0.0,0.0,0.0,0.0,5.55,Algodón,63.3,28.875,60
18.68,59.4,0.0,9.1,4.39,6.34,0.0,2.1,3.58,Sintéticos,51.480000000000004,23.95,40
87.64,2.62,0.0,3.92,3.06,0.0,0.0,2.76,4.91,Algodón,59.46,27.275,60
7.85,9.38,43.49,5.24,7.52,6.4,20.13,0.0,1.0,Mixto,36.0,17.5,40
81.35,10.34,0.0,0.89,7.24,0.0,0.0,0.18,4.03,Algodón,54.18,25.075000000000003,60
15.47,9.86,32.82,0.55,8.77,5.36,27.17,0.0,1.65,Mixto,39.9,19.125,40
85.86,4.09,0.0,4.49,1.42,0.0,0.0,4.13,4.89,Algodón,59.339999999999996,27.225,60
18.8,19.11,36.38,1.07,0.58,4.75,19.31,0.0,1.97,Mixto,41.82,19.925,40
77.62,10.71,0.0,2.42,3.69,0.0,0.0,5.56,6.39,Algodón,68.34,30.975,60
47.61,27.2,4.49,3.24,10.7,5.41,0.0,1.36,3.72,Mixto,52.32,24.3,40
84.56,0.35,0.0,3.43,8.97,0.0,0.0,2.7,5.86,Algodón,65.16,29.65,60
28.36,36.91,0.0,19.56,1.05,8.69,0.0,5.44,3.61,Mixto,51.66,24.025,40
11.49,16.67,38.92,4.51,9.44,9.18,9.79,0.0,2.37,Mixto,44.22,20.925,40
55.95,30.18,0.13,5.04,1.57,2.57,0.0,4.56,4.55,Mixto,57.3,26.375,40
24.17,45.33,0.0,8.97,0.17,17.1,0.0,4.26,3.12,Mixto,48.72,22.8,40
77.71,8.96,0.0,1.33,8.82,0.0,0.0,3.18,6.23,Algodón,67.38,30.575000000000003,60
71.71,12.41,0.0,5.26,10.35,0.0,0.0,0.27,6.64,Algodón,69.84,31.599999999999998,60
20.21,37.1,0.0,15.23,4.26,19.0,0.0,4.18,3.03,Mixto,48.18,22.575,40
63.46,19.55,0.68,3.39,9.12,0.19,0.0,3.61,3.7,Mixto,52.2,24.25,40
11.98,55.22,0.0,10.76,3.54,17.61,0.0,0.88,2.64,Sintéticos,45.84,21.6,40
85.23,7.44,0.0,0.73,3.81,0.0,0.0,2.79,3.16,Algodón,48.96,22.9,60
84.45,9.76,0.0,2.96,0.83,0.0,0.0,2.0,6.23,Algodón,67.38,30.575000000000003,60
85.05,9.83,0.0,1.47,1.79,0.0,0.0,1.85,5.17,Algodón,61.019999999999996,27.925,60
93.95,6.05,0.0,0.0,0.0,0.0,0.0,0.0,6.88,Algodón,71.28,32.2,60
92.42,3.67,0.0,2.32,1.59,0.0,0.0,0.0,3.36,Algodón,50.16,23.4,60
90.39,9.61,0.0,0.0,0.0,0.0,0.0,0.0,4.58,Algodón,57.480000000000004,26.45,60
41.54,43.64,0.53,1.45,6.02,3.97,0.0,2.85,5.06,Mixto,60.36,27.65,40
21.67,50.39,0.0,10.58,3.17,11.46,0.0,2.74,2.66,Sintéticos,45.96,21.65,40
97.07,2.93,0.0,0.0,0.0,0.0,0.0,0.0,4.13,Algodón,54.78,25.325,60
50.5,38.79,3.4,1.44,0.53,3.53,0.0,1.81,5.3,Mixto,61.8,28.25,40
95.17,4.83,0.0,0.0,0.0,0.0,0.0,0.0,5.16,Algodón,60.96,27.9,60
22.59,49.47,0.0,12.1,3.79,11.97,0.0,0.06,2.7,Mixto,46.2,21.75,40
91.28,8.72,0.0,0.0,0.0,0.0,0.0,0.0,6.11,Algodón,66.66,30.275,60
19.26,19.86,33.24,5.27,1.47,9.17,11.73,0.0,1.66,Mixto,39.96,19.15,40
14.95,2.92,53.16,2.38,3.04,14.15,9.39,0.0,1.26,Lana,37.56,18.15,30
80.39,4.67,0.0,3.64,8.42,0.0,0.0,2.88,4.31,Algodón,55.86,25.775,60
75.34,4.38,0.0,4.84,10.66,0.0,0.0,4.78,5.77,Algodón,64.62,29.424999999999997,60
10.25,55.97,0.0,18.15,0.83,14.67,0.0,0.12,3.65,Sintéticos,51.9,24.125,40
99.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,7.62,Algodón,75.72,34.05,60
93.83,6.17,0.0,0.0,0.0,0.0,0.0,0.0,7.43,Algodón,74.58,33.575,60
81.51,13.73,0.0,2.62,2.07,0.0,0.0,0.06,4.67,Algodón,58.019999999999996,26.675,60
95.84,4.16,0.0,0.0,0.0,0.0,0.0,0.0,5.45,Algodón,62.7,28.625,60
94.64,5.36,0.0,0.0,0.0,0.0,0.0,0.0,4.21,Algodón,55.26,25.525,60
18.78,21.42,19.97,5.63,5.14,3.3,25.77,0.0,2.61,Mixto,45.66,21.525,40
48.06,38.17,2.88,0.72,5.43,1.3,0.0,3.44,5.14,Mixto,60.839999999999996,27.85,40
59.1,24.72,2.67,1.11,6.45,3.24,0.0,2.72,2.55,Mixto,45.3,21.375,40
23.92,24.82,20.84,1.94,2.04,8.59,17.85,0.0,2.82,Mixto,46.92,22.05,40
21.09,6.87,43.71,4.38,0.46,11.18,12.31,0.0,1.89,Mixto,41.34,19.725,40
20.99,2.93,32.33,2.58,5.77,6.48,28.92,0.0,2.43,Mixto,44.58,21.075,40
47.96,33.7,1.07,3.2,5.08,4.61,0.0,4.36,5.41,Mixto,62.46,28.525,40
37.5,43.74,0.46,3.64,8.9,1.23,0.0,4.53,3.89,Mixto,53.34,24.725,40
95.4,4.6,0.0,0.0,0.0,0.0,0.0,0.0,6.45,Algodón,68.7,31.125,60
55.71,29.54,2.86,4.77,2.52,3.31,0.0,1.29,4.59,Mixto,57.54,26.475,40
75.3,16.3,0.0,0.78,4.94,0.0,0.0,2.68,4.74,Algodón,58.44,26.85,60
94.31,5.69,0.0,0.0,0.0,0.0,0.0,0.0,4.13,Algodón,54.78,25.325,60
26.33,16.25,22.69,1.35,7.26,1.02,25.11,0.0,1.69,Mixto,40.14,19.225,40
78.4,9.4,0.0,1.58,8.5,0.0,0.0,2.12,6.78,Algodón,70.68,31.95,60
84.8,3.59,0.0,4.66,2.45,0.0,0.0,4.5,5.59,Algodón,63.54,28.975,60
97.31,2.69,0.0,0.0,0.0,0.0,0.0,0.0,6.22,Algodón,67.32,30.549999999999997,60
73.84,14.73,0.0,2.63,7.82,0.0,0.0,0.98,5.17,Algodón,61.019999999999996,27.925,60
26.42,15.05,35.39,4.19,1.49,1.11,16.35,0.0,1.52,Mixto,39.120000000000005,18.8,40
63.52,18.3,0.0,4.68,9.1,0.0,0.0,4.4,5.67,Mixto,64.02,29.175,40
15.81,59.26,0.0,6.74,0.99,15.78,0.0,1.42,2.03,Sintéticos,42.18,20.075,40
86.06,2.18,0.0,2.19,7.67,0.0,0.0,1.89,4.06,Algodón,54.36,25.15,60
95.77,4.23,0.0,0.0,0.0,0.0,0.0,0.0,4.33,Algodón,55.980000000000004,25.825,60
99.89,0.11,0.0,0.0,0.0,0.0,0.0,0.0,5.13,Algodón,60.78,27.825,60
92.35,7.65,0.0,0.0,0.0,0.0,0.0,0.0,4.42,Algodón,56.519999999999996,26.05,60
91.6,8.4,0.0,0.0,0.0,0.0,0.0,0.0,4.77,Algodón,58.62,26.924999999999997,60
1.1,60.44,0.0,22.06,0.02,13.63,0.0,2.75,3.62,Sintéticos,51.72,24.05,40
63.47,24.71,0.35,0.54,7.47,2.38,0.0,1.09,4.5,Mixto,57.0,26.25,40
94.92,5.08,0.0,0.0,0.0,0.0,0.0,0.0,4.58,Algodón,57.480000000000004,26.45,60
33.54,31.73,12.4,4.07,1.59,1.11,15.56,0.0,1.64,Mixto,39.84,19.1,40
90.44,4.39,0.0,2.71,2.19,0.0,0.0,0.27,4.91,Algodón,59.46,27.275,60
78.86,13.89,0.0,2.14,1.52,0.0,0.0,3.59,3.81,Algodón,52.86,24.525,60
15.89,60.75,0.0,9.03,2.44,8.88,0.0,3.02,2.57,Sintéticos,45.42,21.425,40
49.02,34.99,1.32,4.55,6.27,0.02,0.0,3.82,3.2,Mixto,49.2,23.0,40
25.02,40.95,0.0,13.52,5.72,9.28,0.0,5.52,3.16,Mixto,48.96,22.9,40
97.49,2.51,0.0,0.0,0.0,0.0,0.0,0.0,6.22,Algodón,67.32,30.549999999999997,60
26.39,38.95,0.0,10.5,4.8,16.19,0.0,3.17,3.83,Mixto,52.980000000000004,24.575,40
77.0,9.38,0.0,2.36,9.32,0.0,0.0,1.94,3.66,Algodón,51.96,24.15,60
95.06,4.94,0.0,0.0,0.0,0.0,0.0,0.0,5.33,Algodón,61.980000000000004,28.325,60
23.95,39.94,0.0,17.25,4.92,11.89,0.0,2.04,3.45,Mixto,50.7,23.625,40
13.14,58.34,0.0,14.13,3.17,10.44,0.0,0.77,2.52,Sintéticos,45.120000000000005,21.3,40
78.94,11.05,0.0,1.35,7.37,0.0,0.0,1.28,3.5,Algodón,51.0,23.75,60
69.48,23.09,1.14,3.16,1.17,0.45,0.0,1.51,5.14,Mixto,60.839999999999996,27.85,40
76.44,11.93,0.0,4.86,3.19,0.0,0.0,3.59,3.65,Algodón,51.9,24.125,60
33.25,9.1,28.16,0.22,11.4,10.39,7.48,0.0,2.65,Mixto,45.9,21.625,40
98.04,1.96,0.0,0.0,0.0,0.0,0.0,0.0,5.43,Algodón,62.58,28.575,60
49.98,34.8,1.72,3.12,6.51,1.51,0.0,2.34,2.66,Mixto,45.96,21.65,40
94.9,5.1,0.0,0.0,0.0,0.0,0.0,0.0,5.65,Algodón,63.900000000000006,29.125,60
51.77,37.99,1.97,1.49,2.55,0.63,0.0,3.6,5.31,Mixto,61.86,28.275,40
67.01,28.15,1.16,0.85,1.53,1.0,0.0,0.3,4.61,Mixto,57.660000000000004,26.525,40
9.82,44.34,0.0,15.14,4.86,21.9,0.0,3.94,2.38,Mixto,44.28,20.95,40
33.26,52.84,3.73,5.35,1.2,1.0,0.0,2.62,3.05,Sintéticos,48.3,22.625,40
50.3,33.65,3.66,2.83,7.52,1.68,0.0,0.37,2.92,Mixto,47.519999999999996,22.3,40
13.88,32.88,30.55,3.99,4.84,0.92,12.94,0.0,1.17,Mixto,37.019999999999996,17.925,40
76.17,4.62,0.0,5.43,9.71,0.0,0.0,4.08,3.1,Algodón,48.6,22.75,60
33.95,21.03,30.55,3.27,0.72,2.05,8.42,0.0,2.91,Mixto,47.46,22.275,40
31.6,7.03,23.12,2.88,10.31,8.97,16.1,0.0,1.32,Mixto,37.92,18.3,40
92.13,7.87,0.0,0.0,0.0,0.0,0.0,0.0,7.28,Algodón,73.68,33.2,60
89.49,3.75,0.0,1.22,3.75,0.0,0.0,1.8,6.69,Algodón,70.14,31.725,60
99.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0,5.55,Algodón,63.3,28.875,60
48.25,41.72,2.21,1.32,3.39,2.42,0.0,0.69,3.53,Mixto,51.18,23.825,40
79.02,12.26,0.0,0.53,4.93,0.0,0.0,3.27,3.05,Algodón,48.3,22.625,60
82.49,7.34,0.0,0.3,7.18,0.0,0.0,2.7,3.39,Algodón,50.34,23.475,60
97.07,2.93,0.0,0.0,0.0,0.0,0.0,0.0,6.51,Algodón,69.06,31.275,60
99.03,0.97,0.0,0.0,0.0,0.0,0.0,0.0,5.3,Algodón,61.8,28.25,60
54.92,28.82,2.88,3.84,5.58,1.48,0.0,2.49,5.24,Mixto,61.44,28.1,40
23.07,20.93,19.34,1.08,5.4,6.09,24.08,0.0,2.27,Mixto,43.620000000000005,20.675,40
70.73,17.29,0.0,3.52,5.92,0.0,0.0,2.54,6.61,Algodón,69.66,31.525000000000002,60
77.78,18.61,0.0,0.51,2.52,0.0,0.0,0.58,3.84,Algodón,53.04,24.6,60
95.06,4.94,0.0,0.0,0.0,0.0,0.0,0.0,7.03,Algodón,72.18,32.575,60
18.8,20.84,27.52,3.41,3.94,5.94,19.55,0.0,1.87,Mixto,41.22,19.675,40
78.26,11.42,0.0,0.25,6.8,0.0,0.0,3.27,5.49,Algodón,62.94,28.725,60
74.55,15.77,0.0,1.56,4.11,0.0,0.0,4.01,6.14,Algodón,66.84,30.35,60
47.68,40.3,1.89,2.35,6.1,0.74,0.0,0.95,4.23,Mixto,55.38,25.575000000000003,40
97.54,2.46,0.0,0.0,0.0,0.0,0.0,0.0,5.88,Algodón,65.28,29.7,60
92.17,7.83,0.0,0.0,0.0,0.0,0.0,0.0,6.32,Algodón,67.92,30.8,60
93.34,6.66,0.0,0.0,0.0,0.0,0.0,0.0,5.11,Algodón,60.660000000000004,27.775,60
11.15,7.42,28.33,2.32,12.59,12.33,25.87,0.0,1.46,Mixto,38.76,18.65,40
45.33,43.98,0.27,1.33,5.95,1.43,0.0,1.71,2.73,Mixto,46.379999999999995,21.825,40
90.23,9.77,0.0,0.0,0.0,0.0,0.0,0.0,6.58,Algodón,69.48,31.45,60
46.38,39.91,3.26,1.74,6.31,0.83,0.0,1.57,2.76,Mixto,46.56,21.9,40
38.3,32.34,4.07,4.86,11.72,3.4,0.0,5.31,3.04,Mixto,48.24,22.6,40
75.82,12.1,0.0,3.17,6.04,0.0,0.0,2.87,6.47,Algodón,68.82,31.175,60
73.9,6.42,0.0,3.33,11.16,0.0,0.0,5.2,5.94,Algodón,65.64,29.85,60
98.64,1.36,0.0,0.0,0.0,0.0,0.0,0.0,7.78,Algodón,76.68,34.45,60
88.72,1.74,0.0,3.29,2.99,0.0,0.0,3.26,4.02,Algodón,54.12,25.049999999999997,60
74.15,10.91,0.0,3.68,7.41,0.0,0.0,3.85,4.41,Algodón,56.46,26.025,60
68.98,19.47,0.0,4.97,1.4,0.0,0.0,5.18,5.65,Mixto,63.900000000000006,29.125,40
85.64,5.83,0.0,3.92,4.5,0.0,0.0,0.12,5.93,Algodón,65.58,29.825,60
45.56,40.28,0.42,2.03,5.58,2.53,0.0,3.61,4.27,Mixto,55.62,25.674999999999997,40
2.52,72.31,0.0,7.48,0.12,11.94,0.0,5.63,2.35,Sintéticos,44.1,20.875,40
16.24,8.14,24.58,2.2,9.18,9.33,30.33,0.0,2.76,Delicados,46.56,21.9,30
49.05,40.88,0.25,4.17,1.78,0.85,0.0,3.03,4.76,Mixto,58.56,26.9,40
10.67,54.42,0.0,17.43,3.33,10.81,0.0,3.33,3.24,Sintéticos,49.44,23.1,40
95.16,4.84,0.0,0.0,0.0,0.0,0.0,0.0,5.42,Algodón,62.519999999999996,28.55,60
