Algodon,Poliester,Lana,Elastano,Viscosa,Nylon,Seda,Fibra,Peso
3.34,47.41,0.0,20.88,6.25,20.38,0.0,1.74,3.78
1.79,60.45,0.0,22.17,2.12,11.27,0.0,2.19,3.38
91.3,8.7,0.0,0.0,0.0,0.0,0.0,0.0,4.43
94.69,5.31,0.0,0.0,0.0,0.0,0.0,0.0,6.66
62.22,26.1,3.88,2.51,0.64,4.07,0.0,0.58,3.25
93.23,6.77,0.0,0.0,0.0,0.0,0.0,0.0,5.41
83.64,4.11,0.0,0.66,8.31,0.0,0.0,3.28,4.15
22.45,22.49,19.45,1.89,9.15,0.48,24.09,0.0,2.21
73.61,19.02,0.0,0.72,4.98,0.0,0.0,1.67,3.04
44.29,48.03,1.16,0.69,4.18,1.46,0.0,0.18,4.08
77.1,11.49,0.0,3.74,2.93,0.0,0.0,4.74,4.38
38.2,52.51,3.01,3.02,0.18,1.98,0.0,1.1,2.91
96.01,3.99,0.0,0.0,0.0,0.0,0.0,0.0,6.31
5.79,17.74,26.53,1.85,7.88,9.69,30.54,0.0,1.66
98.21,1.79,0.0,0.0,0.0,0.0,0.0,0.0,4.32
98.98,1.02,0.0,0.0,0.0,0.0,0.0,0.0,5.2
1.08,22.46,20.0,2.1,12.33,5.99,36.04,0.0,2.81
74.35,12.55,0.0,3.96,5.19,0.0,0.0,3.95,5.6
18.26,59.5,0.0,6.03,1.4,13.26,0.0,1.55,3.41
47.55,33.63,4.05,1.34,8.64,1.48,0.0,3.31,5.24
91.58,1.95,0.0,0.13,3.06,0.0,0.0,3.28,6.92
46.96,41.76,1.07,2.36,4.33,1.94,0.0,1.59,2.84
96.65,3.35,0.0,0.0,0.0,0.0,0.0,0.0,6.34
92.66,7.34,0.0,0.0,0.0,0.0,0.0,0.0,7.6
89.02,0.16,0.0,3.81,5.38,0.0,0.0,1.63,6.91
11.24,54.46,0.0,12.0,1.53,16.59,0.0,4.18,2.64
24.81,47.0,0.0,13.56,2.56,9.8,0.0,2.27,2.07
97.74,2.26,0.0,0.0,0.0,0.0,0.0,0.0,6.92
1.87,44.87,30.15,1.2,1.59,9.98,10.34,0.0,2.45
83.76,4.2,0.0,2.52,7.52,0.0,0.0,1.99,6.32
21.1,22.83,28.49,3.51,9.88,5.18,9.0,0.0,2.55
28.55,4.68,48.53,0.14,6.59,2.9,8.62,0.0,1.96
76.46,13.23,0.0,1.66,4.7,0.0,0.0,3.95,3.58
97.93,2.07,0.0,0.0,0.0,0.0,0.0,0.0,7.91
24.83,45.35,0.0,12.25,2.35,13.09,0.0,2.13,2.99
92.81,7.19,0.0,0.0,0.0,0.0,0.0,0.0,4.65
38.62,43.4,2.81,3.89,8.67,0.83,0.0,1.77,2.7
91.49,0.31,0.0,1.1,0.97,0.0,0.0,6.14,3.74
32.39,31.65,12.97,4.91,4.08,5.59,8.39,0.0,2.92
98.25,1.75,0.0,0.0,0.0,0.0,0.0,0.0,4.32
3.25,33.88,16.55,1.72,4.54,6.92,33.14,0.0,1.63
22.98,49.41,0.0,14.76,2.72,6.69,0.0,3.44,3.93
0.25,61.68,0.0,23.38,0.29,8.46,0.0,5.94,3.33
6.25,20.41,37.59,0.6,5.53,0.67,28.95,0.0,1.56
90.43,9.57,0.0,0.0,0.0,0.0,0.0,0.0,6.64
77.28,10.28,0.0,3.88,4.49,0.0,0.0,4.08,4.28
99.48,0.52,0.0,0.0,0.0,0.0,0.0,0.0,4.11
16.82,3.63,24.05,6.18,11.41,14.44,23.48,0.0,1.7
92.28,7.72,0.0,0.0,0.0,0.0,0.0,0.0,5.78
90.54,9.46,0.0,0.0,0.0,0.0,0.0,0.0,4.31
57.12,32.68,0.34,1.0,3.93,3.11,0.0,1.82,3.24
69.04,18.43,0.0,0.93,8.2,0.0,0.0,3.38,5.79
37.45,47.31,1.57,2.02,8.1,1.1,0.0,2.44,3.11
63.42,27.63,4.15,0.09,0.73,0.08,0.0,3.91,5.04
95.45,4.55,0.0,0.0,0.0,0.0,0.0,0.0,7.42
99.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,5.07
2.68,64.04,0.0,17.29,3.19,12.32,0.0,0.48,2.31
79.36,4.67,0.0,3.44,10.26,0.0,0.0,2.27,6.1
96.99,3.01,0.0,0.0,0.0,0.0,0.0,0.0,5.05
1.74,64.68,0.0,9.33,4.42,15.15,0.0,4.69,3.39
4.63,11.73,41.82,5.11,9.16,3.47,24.09,0.0,2.01
73.84,15.36,0.0,3.98,2.73,0.0,0.0,4.1,4.91
3.16,63.21,0.0,15.43,2.03,13.65,0.0,2.52,2.56
54.36,26.76,3.33,5.9,4.77,3.77,0.0,1.12,4.45
48.72,35.85,4.77,4.11,2.03,0.31,0.0,4.21,3.93
11.44,16.69,38.65,0.32,0.71,5.3,26.89,0.0,2.4
14.2,56.28,0.0,15.59,0.58,10.69,0.0,2.67,3.53
93.46,6.54,0.0,0.0,0.0,0.0,0.0,0.0,6.78
31.09,4.0,17.92,2.22,5.98,9.42,29.36,0.0,1.63
7.64,53.04,0.0,17.17,1.97,15.72,0.0,4.46,2.89
97.3,2.7,0.0,0.0,0.0,0.0,0.0,0.0,5.68
21.43,52.65,0.0,10.08,1.05,14.74,0.0,0.04,3.38
23.53,48.33,0.0,10.07,4.12,12.85,0.0,1.11,2.09
9.63,30.76,15.59,4.63,5.26,3.82,30.31,0.0,1.8
93.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,4.26
10.25,45.22,0.0,18.69,4.67,17.32,0.0,3.84,2.26
10.28,45.47,0.0,18.92,2.05,18.32,0.0,4.97,2.66
2.24,49.22,0.0,26.16,7.18,13.76,0.0,1.44,2.36
32.49,1.27,15.91,5.18,11.66,12.18,21.31,0.0,2.49
0.77,63.65,0.0,15.9,1.22,16.92,0.0,1.54,2.08
86.07,8.36,0.0,0.57,0.55,0.0,0.0,4.45,3.93
79.11,17.23,0.0,1.62,1.01,0.0,0.0,1.03,3.58
56.96,29.41,3.66,1.84,2.59,2.36,0.0,3.18,4.84
18.16,47.58,0.0,14.77,0.69,13.91,0.0,4.89,2.77
10.92,56.52,0.0,9.96,1.61,16.82,0.0,4.16,3.18
33.95,35.3,0.0,7.59,3.39,16.65,0.0,3.11,3.4
94.25,5.75,0.0,0.0,0.0,0.0,0.0,0.0,7.03
55.84,36.03,0.72,4.88,2.03,0.09,0.0,0.4,3.56
5.17,43.18,0.0,28.04,2.65,13.9,0.0,7.05,2.77
44.36,40.63,0.41,1.81,6.85,0.5,0.0,5.44,4.31
36.93,41.73,2.84,3.69,8.23,4.79,0.0,1.8,4.65
25.07,32.45,15.2,3.69,1.8,8.62,13.17,0.0,2.62
91.58,8.42,0.0,0.0,0.0,0.0,0.0,0.0,5.55
18.68,59.4,0.0,9.1,4.39,6.34,0.0,2.1,3.58
87.64,2.62,0.0,3.92,3.06,0.0,0.0,2.76,4.91
7.85,9.38,43.49,5.24,7.52,6.4,20.13,0.0,1.0
81.35,10.34,0.0,0.89,7.24,0.0,0.0,0.18,4.03
15.47,9.86,32.82,0.55,8.77,5.36,27.17,0.0,1.65
85.86,4.09,0.0,4.49,1.42,0.0,0.0,4.13,4.89
18.8,19.11,36.38,1.07,0.58,4.75,19.31,0.0,1.97
77.62,10.71,0.0,2.42,3.69,0.0,0.0,5.56,6.39
47.61,27.2,4.49,3.24,10.7,5.41,0.0,1.36,3.72
84.56,0.35,0.0,3.43,8.97,0.0,0.0,2.7,5.86
28.36,36.91,0.0,19.56,1.05,8.69,0.0,5.44,3.61
11.49,16.67,38.92,4.51,9.44,9.18,9.79,0.0,2.37
55.95,30.18,0.13,5.04,1.57,2.57,0.0,4.56,4.55
24.17,45.33,0.0,8.97,0.17,17.1,0.0,4.26,3.12
77.71,8.96,0.0,1.33,8.82,0.0,0.0,3.18,6.23
71.71,12.41,0.0,5.26,10.35,0.0,0.0,0.27,6.64
20.21,37.1,0.0,15.23,4.26,19.0,0.0,4.18,3.03
63.46,19.55,0.68,3.39,9.12,0.19,0.0,3.61,3.7
11.98,55.22,0.0,10.76,3.54,17.61,0.0,0.88,2.64
85.23,7.44,0.0,0.73,3.81,0.0,0.0,2.79,3.16
84.45,9.76,0.0,2.96,0.83,0.0,0.0,2.0,6.23
85.05,9.83,0.0,1.47,1.79,0.0,0.0,1.85,5.17
93.95,6.05,0.0,0.0,0.0,0.0,0.0,0.0,6.88
92.42,3.67,0.0,2.32,1.59,0.0,0.0,0.0,3.36
90.39,9.61,0.0,0.0,0.0,0.0,0.0,0.0,4.58
41.54,43.64,0.53,1.45,6.02,3.97,0.0,2.85,5.06
21.67,50.39,0.0,10.58,3.17,11.46,0.0,2.74,2.66
97.07,2.93,0.0,0.0,0.0,0.0,0.0,0.0,4.13
50.5,38.79,3.4,1.44,0.53,3.53,0.0,1.81,5.3
95.17,4.83,0.0,0.0,0.0,0.0,0.0,0.0,5.16
22.59,49.47,0.0,12.1,3.79,11.97,0.0,0.06,2.7
91.28,8.72,0.0,0.0,0.0,0.0,0.0,0.0,6.11
19.26,19.86,33.24,5.27,1.47,9.17,11.73,0.0,1.66
14.95,2.92,53.16,2.38,3.04,14.15,9.39,0.0,1.26
80.39,4.67,0.0,3.64,8.42,0.0,0.0,2.88,4.31
75.34,4.38,0.0,4.84,10.66,0.0,0.0,4.78,5.77
10.25,55.97,0.0,18.15,0.83,14.67,0.0,0.12,3.65
99.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,7.62
93.83,6.17,0.0,0.0,0.0,0.0,0.0,0.0,7.43
81.51,13.73,0.0,2.62,2.07,0.0,0.0,0.06,4.67
95.84,4.16,0.0,0.0,0.0,0.0,0.0,0.0,5.45
94.64,5.36,0.0,0.0,0.0,0.0,0.0,0.0,4.21
18.78,21.42,19.97,5.63,5.14,3.3,25.77,0.0,2.61
48.06,38.17,2.88,0.72,5.43,1.3,0.0,3.44,5.14
59.1,24.72,2.67,1.11,6.45,3.24,0.0,2.72,2.55
23.92,24.82,20.84,1.94,2.04,8.59,17.85,0.0,2.82
21.09,6.87,43.71,4.38,0.46,11.18,12.31,0.0,1.89
20.99,2.93,32.33,2.58,5.77,6.48,28.92,0.0,2.43
47.96,33.7,1.07,3.2,5.08,4.61,0.0,4.36,5.41
37.5,43.74,0.46,3.64,8.9,1.23,0.0,4.53,3.89
95.4,4.6,0.0,0.0,0.0,0.0,0.0,0.0,6.45
55.71,29.54,2.86,4.77,2.52,3.31,0.0,1.29,4.59
75.3,16.3,0.0,0.78,4.94,0.0,0.0,2.68,4.74
94.31,5.69,0.0,0.0,0.0,0.0,0.0,0.0,4.13
26.33,16.25,22.69,1.35,7.26,1.02,25.11,0.0,1.69
78.4,9.4,0.0,1.58,8.5,0.0,0.0,2.12,6.78
84.8,3.59,0.0,4.66,2.45,0.0,0.0,4.5,5.59
97.31,2.69,0.0,0.0,0.0,0.0,0.0,0.0,6.22
73.84,14.73,0.0,2.63,7.82,0.0,0.0,0.98,5.17
26.42,15.05,35.39,4.19,1.49,1.11,16.35,0.0,1.52
63.52,18.3,0.0,4.68,9.1,0.0,0.0,4.4,5.67
15.81,59.26,0.0,6.74,0.99,15.78,0.0,1.42,2.03
86.06,2.18,0.0,2.19,7.67,0.0,0.0,1.89,4.06
95.77,4.23,0.0,0.0,0.0,0.0,0.0,0.0,4.33
99.89,0.11,0.0,0.0,0.0,0.0,0.0,0.0,5.13
92.35,7.65,0.0,0.0,0.0,0.0,0.0,0.0,4.42
91.6,8.4,0.0,0.0,0.0,0.0,0.0,0.0,4.77
1.1,60.44,0.0,22.06,0.02,13.63,0.0,2.75,3.62
63.47,24.71,0.35,0.54,7.47,2.38,0.0,1.09,4.5
94.92,5.08,0.0,0.0,0.0,0.0,0.0,0.0,4.58
33.54,31.73,12.4,4.07,1.59,1.11,15.56,0.0,1.64
90.44,4.39,0.0,2.71,2.19,0.0,0.0,0.27,4.91
78.86,13.89,0.0,2.14,1.52,0.0,0.0,3.59,3.81
15.89,60.75,0.0,9.03,2.44,8.88,0.0,3.02,2.57
49.02,34.99,1.32,4.55,6.27,0.02,0.0,3.82,3.2
25.02,40.95,0.0,13.52,5.72,9.28,0.0,5.52,3.16
97.49,2.51,0.0,0.0,0.0,0.0,0.0,0.0,6.22
26.39,38.95,0.0,10.5,4.8,16.19,0.0,3.17,3.83
77.0,9.38,0.0,2.36,9.32,0.0,0.0,1.94,3.66
95.06,4.94,0.0,0.0,0.0,0.0,0.0,0.0,5.33
23.95,39.94,0.0,17.25,4.92,11.89,0.0,2.04,3.45
13.14,58.34,0.0,14.13,3.17,10.44,0.0,0.77,2.52
78.94,11.05,0.0,1.35,7.37,0.0,0.0,1.28,3.5
69.48,23.09,1.14,3.16,1.17,0.45,0.0,1.51,5.14
76.44,11.93,0.0,4.86,3.19,0.0,0.0,3.59,3.65
33.25,9.1,28.16,0.22,11.4,10.39,7.48,0.0,2.65
98.04,1.96,0.0,0.0,0.0,0.0,0.0,0.0,5.43
49.98,34.8,1.72,3.12,6.51,1.51,0.0,2.34,2.66
94.9,5.1,0.0,0.0,0.0,0.0,0.0,0.0,5.65
51.77,37.99,1.97,1.49,2.55,0.63,0.0,3.6,5.31
67.01,28.15,1.16,0.85,1.53,1.0,0.0,0.3,4.61
9.82,44.34,0.0,15.14,4.86,21.9,0.0,3.94,2.38
33.26,52.84,3.73,5.35,1.2,1.0,0.0,2.62,3.05
50.3,33.65,3.66,2.83,7.52,1.68,0.0,0.37,2.92
13.88,32.88,30.55,3.99,4.84,0.92,12.94,0.0,1.17
76.17,4.62,0.0,5.43,9.71,0.0,0.0,4.08,3.1
33.95,21.03,30.55,3.27,0.72,2.05,8.42,0.0,2.91
31.6,7.03,23.12,2.88,10.31,8.97,16.1,0.0,1.32
92.13,7.87,0.0,0.0,0.0,0.0,0.0,0.0,7.28
89.49,3.75,0.0,1.22,3.75,0.0,0.0,1.8,6.69
99.31,0.69,0.0,0.0,0.0,0.0,0.0,0.0,5.55
48.25,41.72,2.21,1.32,3.39,2.42,0.0,0.69,3.53
79.02,12.26,0.0,0.53,4.93,0.0,0.0,3.27,3.05
82.49,7.34,0.0,0.3,7.18,0.0,0.0,2.7,3.39
97.07,2.93,0.0,0.0,0.0,0.0,0.0,0.0,6.51
99.03,0.97,0.0,0.0,0.0,0.0,0.0,0.0,5.3
54.92,28.82,2.88,3.84,5.58,1.48,0.0,2.49,5.24
23.07,20.93,19.34,1.08,5.4,6.09,24.08,0.0,2.27
70.73,17.29,0.0,3.52,5.92,0.0,0.0,2.54,6.61
77.78,18.61,0.0,0.51,2.52,0.0,0.0,0.58,3.84
95.06,4.94,0.0,0.0,0.0,0.0,0.0,0.0,7.03
18.8,20.84,27.52,3.41,3.94,5.94,19.55,0.0,1.87
78.26,11.42,0.0,0.25,6.8,0.0,0.0,3.27,5.49
74.55,15.77,0.0,1.56,4.11,0.0,0.0,4.01,6.14
47.68,40.3,1.89,2.35,6.1,0.74,0.0,0.95,4.23
97.54,2.46,0.0,0.0,0.0,0.0,0.0,0.0,5.88
92.17,7.83,0.0,0.0,0.0,0.0,0.0,0.0,6.32
93.34,6.66,0.0,0.0,0.0,0.0,0.0,0.0,5.11
11.15,7.42,28.33,2.32,12.59,12.33,25.87,0.0,1.46
45.33,43.98,0.27,1.33,5.95,1.43,0.0,1.71,2.73
90.23,9.77,0.0,0.0,0.0,0.0,0.0,0.0,6.58
46.38,39.91,3.26,1.74,6.31,0.83,0.0,1.57,2.76
38.3,32.34,4.07,4.86,11.72,3.4,0.0,5.31,3.04
75.82,12.1,0.0,3.17,6.04,0.0,0.0,2.87,6.47
73.9,6.42,0.0,3.33,11.16,0.0,0.0,5.2,5.94
98.64,1.36,0.0,0.0,0.0,0.0,0.0,0.0,7.78
88.72,1.74,0.0,3.29,2.99,0.0,0.0,3.26,4.02
74.15,10.91,0.0,3.68,7.41,0.0,0.0,3.85,4.41
68.98,19.47,0.0,4.97,1.4,0.0,0.0,5.18,5.65
85.64,5.83,0.0,3.92,4.5,0.0,0.0,0.12,5.93
45.56,40.28,0.42,2.03,5.58,2.53,0.0,3.61,4.27
2.52,72.31,0.0,7.48,0.12,11.94,0.0,5.63,2.35
16.24,8.14,24.58,2.2,9.18,9.33,30.33,0.0,2.76
49.05,40.88,0.25,4.17,1.78,0.85,0.0,3.03,4.76
10.67,54.42,0.0,17.43,3.33,10.81,0.0,3.33,3.24
95.16,4.84,0.0,0.0,0.0,0.0,0.0,0.0,5.42
22.25,3.98,40.12,4.73,6.39,6.39,16.14,0.0,2.13
72.61,15.17,0.0,1.29,7.4,0.0,0.0,3.53,5.84
66.17,20.0,0.0,0.59,9.17,0.0,0.0,4.08,5.34
77.64,13.01,0.0,1.04,4.47,0.0,0.0,3.84,3.68
20.31,32.15,24.86,1.6,5.64,7.12,8.32,0.0,2.42
97.37,2.63,0.0,0.0,0.0,0.0,0.0,0.0,5.35
88.18,11.82,0.0,0.0,0.0,0.0,0.0,0.0,7.92
24.27,39.29,0.0,15.35,3.88,13.04,0.0,4.17,3.67
87.68,6.32,0.0,2.55,3.21,0.0,0.0,0.24,5.18
34.48,45.44,2.56,2.93,7.14,4.98,0.0,2.48,4.85
16.47,30.28,18.63,3.5,7.94,10.46,12.72,0.0,2.73
10.13,61.49,0.0,7.21,3.69,13.57,0.0,3.92,2.42
92.36,7.64,0.0,0.0,0.0,0.0,0.0,0.0,5.29
47.13,34.79,5.04,1.67,6.54,0.37,0.0,4.45,3.37
21.02,46.91,0.0,11.27,2.9,14.62,0.0,3.29,2.07
6.67,60.27,0.0,16.33,0.55,12.7,0.0,3.49,3.81
80.66,10.6,0.0,0.92,7.32,0.0,0.0,0.5,6.91
21.19,19.96,29.04,0.32,4.55,6.99,17.95,0.0,2.29
16.27,11.76,40.53,1.8,8.68,6.76,14.19,0.0,2.53
82.23,14.19,0.0,0.46,1.08,0.0,0.0,2.05,5.62
86.65,2.59,0.0,1.69,8.17,0.0,0.0,0.9,5.66
21.83,39.97,0.0,20.81,5.15,8.66,0.0,3.57,2.72
75.65,8.83,0.0,4.28,7.33,0.0,0.0,3.91,5.08
21.58,22.82,21.17,2.09,8.9,5.4,18.04,0.0,1.98
10.14,30.52,20.91,0.21,7.52,11.35,19.35,0.0,2.28
47.65,37.43,3.34,3.36,3.01,2.08,0.0,3.13,3.44
78.84,9.43,0.0,1.74,7.92,0.0,0.0,2.07,5.21
73.57,14.36,0.0,1.48,7.42,0.0,0.0,3.18,6.9
59.08,22.57,3.6,0.95,8.38,3.52,0.0,1.91,4.37
84.18,8.23,0.0,2.38,3.21,0.0,0.0,2.0,6.56
10.72,30.05,27.58,3.09,1.06,7.33,20.17,0.0,2.84
5.42,55.85,0.0,13.08,3.94,17.58,0.0,4.13,3.86
4.59,54.72,0.0,19.49,1.05,17.77,0.0,2.39,2.59
13.05,6.24,32.51,4.9,4.88,9.87,28.55,0.0,2.21
0.72,15.49,40.61,4.27,13.52,3.41,21.97,0.0,1.32
35.84,54.62,1.3,0.22,4.5,3.07,0.0,0.44,4.1
22.05,42.67,0.0,16.6,0.29,15.61,0.0,2.78,2.09
15.9,21.21,44.37,0.39,2.43,4.3,11.41,0.0,2.34
13.68,68.31,0.0,5.4,3.56,7.28,0.0,1.78,3.15
13.08,54.35,0.0,8.62,3.98,15.43,0.0,4.53,3.49
86.72,3.79,0.0,0.94,6.39,0.0,0.0,2.16,5.97
4.58,21.61,27.32,4.66,8.0,8.86,24.98,0.0,1.27
42.75,37.13,6.85,3.13,7.03,0.99,0.0,2.1,4.34
99.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,5.32
88.71,1.89,0.0,0.26,6.75,0.0,0.0,2.39,4.27
20.65,48.35,0.0,18.97,0.28,7.67,0.0,4.09,2.03
90.1,9.9,0.0,0.0,0.0,0.0,0.0,0.0,5.24
84.66,5.63,0.0,4.99,1.18,0.0,0.0,3.53,3.94
92.31,7.69,0.0,0.0,0.0,0.0,0.0,0.0,7.05
44.01,47.17,0.45,3.74,3.74,0.2,0.0,0.69,5.02
52.19,34.78,2.04,0.5,2.44,4.28,0.0,3.77,4.0
3.08,8.95,46.59,3.58,10.11,2.32,25.37,0.0,1.1
72.91,17.08,0.0,5.09,2.53,0.0,0.0,2.4,4.81
55.97,32.49,3.09,2.42,1.54,2.39,0.0,2.1,4.24
82.1,12.7,0.0,0.73,3.31,0.0,0.0,1.16,6.2
82.63,9.1,0.0,2.37,4.83,0.0,0.0,1.07,6.87
5.58,70.16,0.0,14.5,1.12,8.24,0.0,0.41,2.49
47.54,40.59,1.7,0.55,4.65,0.96,0.0,4.02,2.68
14.77,46.85,0.0,16.52,3.22,17.55,0.0,1.09,2.27
47.47,38.5,3.35,2.88,4.8,2.09,0.0,0.9,3.05
38.25,35.85,3.68,6.0,8.71,5.16,0.0,2.36,5.03
7.43,0.44,43.56,3.93,8.92,3.44,32.28,0.0,1.24
97.13,2.87,0.0,0.0,0.0,0.0,0.0,0.0,6.81
15.24,33.83,28.92,2.72,2.87,5.5,10.92,0.0,2.64
67.76,18.9,0.0,4.72,5.02,0.0,0.0,3.6,4.56
96.45,3.55,0.0,0.0,0.0,0.0,0.0,0.0,4.53
12.76,21.76,27.87,5.35,2.63,11.66,17.97,0.0,2.99
34.5,50.26,4.9,3.06,0.78,1.5,0.0,4.99,4.26
22.27,29.24,31.01,3.57,2.17,0.53,11.22,0.0,1.13
69.11,12.91,0.0,4.3,9.07,0.0,0.0,4.62,3.83
69.66,15.11,0.0,4.43,9.55,0.0,0.0,1.25,3.88
41.55,43.48,0.06,2.46,8.16,2.94,0.0,1.35,5.16
26.14,41.39,0.0,10.22,5.2,16.83,0.0,0.21,3.17
97.08,2.92,0.0,0.0,0.0,0.0,0.0,0.0,4.03
90.45,9.55,0.0,0.0,0.0,0.0,0.0,0.0,5.12
89.58,10.42,0.0,0.0,0.0,0.0,0.0,0.0,7.91
86.2,9.22,0.0,0.33,1.24,0.0,0.0,3.01,3.03
49.34,44.65,0.68,0.82,1.27,0.2,0.0,3.03,2.78
87.08,5.17,0.0,1.19,2.33,0.0,0.0,4.23,6.45
50.0,30.44,2.64,2.99,6.26,3.42,0.0,4.25,3.43
10.49,16.65,36.49,2.77,2.1,1.29,30.21,0.0,1.15
77.8,17.79,0.0,3.38,0.73,0.0,0.0,0.29,3.11
75.05,11.65,0.0,3.29,6.41,0.0,0.0,3.6,3.28
91.41,8.59,0.0,0.0,0.0,0.0,0.0,0.0,6.67
91.11,8.89,0.0,0.0,0.0,0.0,0.0,0.0,5.3
54.15,29.84,0.96,4.31,5.08,2.45,0.0,3.21,5.03
93.52,6.48,0.0,0.0,0.0,0.0,0.0,0.0,6.98
44.4,43.38,5.08,0.06,2.17,4.7,0.0,0.21,3.6
57.4,32.25,0.14,4.45,0.79,2.7,0.0,2.27,3.1
53.22,29.82,5.11,3.91,3.87,0.68,0.0,3.38,3.91
82.24,6.12,0.0,4.15,3.09,0.0,0.0,4.41,6.97
5.78,71.62,0.0,13.25,2.33,5.6,0.0,1.43,3.48
36.5,45.63,4.43,1.89,1.61,4.96,0.0,4.98,3.15
82.14,5.97,0.0,1.48,8.44,0.0,0.0,1.96,3.16
21.64,29.21,13.61,1.88,8.17,8.02,17.48,0.0,2.49
76.38,15.8,0.0,4.37,1.43,0.0,0.0,2.02,5.17
75.68,17.1,0.0,1.05,4.22,0.0,0.0,1.96,5.97
17.81,23.31,11.71,2.64,10.64,3.21,30.69,0.0,1.23
84.31,8.62,0.0,1.77,3.07,0.0,0.0,2.23,6.0
92.32,7.68,0.0,0.0,0.0,0.0,0.0,0.0,5.38
75.56,5.2,0.0,5.04,12.02,0.0,0.0,2.18,5.58
92.32,7.68,0.0,0.0,0.0,0.0,0.0,0.0,5.83
75.16,14.09,0.0,0.29,6.99,0.0,0.0,3.47,6.78
21.02,22.13,14.05,3.21,5.46,5.16,28.96,0.0,2.68
16.12,25.21,22.54,2.71,0.06,1.15,32.22,0.0,2.45
19.12,10.52,37.42,0.98,4.16,1.58,26.22,0.0,1.25
35.43,51.16,0.72,5.42,2.03,4.57,0.0,0.66,2.58
83.47,6.95,0.0,0.16,8.23,0.0,0.0,1.19,6.75
55.47,25.73,2.45,4.43,3.75,4.28,0.0,3.88,3.93
89.1,9.18,0.0,0.86,0.71,0.0,0.0,0.15,3.62
77.53,15.57,0.0,3.92,0.89,0.0,0.0,2.09,4.09
22.99,21.18,24.46,0.63,5.41,7.41,17.92,0.0,2.6
56.28,25.42,1.47,4.88,9.7,1.04,0.0,1.21,3.54
46.97,39.62,1.35,1.41,6.46,3.49,0.0,0.7,3.02
26.34,10.88,32.3,2.41,6.75,9.52,11.8,0.0,2.51
50.54,29.21,3.6,4.13,5.87,1.65,0.0,5.01,4.79
82.73,5.28,0.0,3.39,5.9,0.0,0.0,2.69,6.31
97.92,2.08,0.0,0.0,0.0,0.0,0.0,0.0,7.04
58.39,24.55,3.97,0.46,7.08,1.31,0.0,4.23,3.84
8.48,56.06,0.0,14.58,4.52,12.35,0.0,4.01,3.9
21.54,27.95,27.67,2.86,8.74,2.05,9.19,0.0,1.04
